648.exchange2_s-1712B.champsimtrace.xzcumulative,IPC:,0.952424,0.372727,0,0,,,41,110,1,0,109,41,109,2598,1602,996,998,1,997,8696
600.perlbench_s-210B.champsimtrace.xzcumulative,IPC:,0.707118,0.92465,9045,12782,,,889210,961672,651904,650276,309768,238934,317112,29933,19569,10364,23634,7587,16047,3565250
648.exchange2_s-584B.champsimtrace.xzcumulative,IPC:,0.886911,0.588716,114,5,,,7589030,12890800,5503630,5482060,7387180,2106970,7393930,4906,4846,60,69,0,69,8292030
625.x264_s-20B.champsimtrace.xzcumulative,IPC:,1.14422,0.736247,93879,531691,,,4153060,5640850,1439610,1438110,4201240,2714950,4251720,543123,297827,245296,814212,630426,183786,5440580
644.nab_s-7928B.champsimtrace.xzcumulative,IPC:,0.610768,0.831587,7214598,723156,,,2277020,2738160,1592430,1513580,1145720,763439,1154080,9662800,9548680,114122,813216,691001,122215,11017000
623.xalancbmk_s-202B.champsimtrace.xzcumulative,IPC:,0.563199,0.911778,1470998,16005863,,,1899120,2082880,1751820,1729200,331058,169917,336890,6490470,1531060,4959410,19501800,19394600,107284,6488350
621.wrf_s-575B.champsimtrace.xzcumulative,IPC:,0.568127,0.652463,25,785,,,151361,231984,14825,13186,217159,138175,217359,11536,5812,5724,6906,512,6394,2305390
600.perlbench_s-570B.champsimtrace.xzcumulative,IPC:,0.539146,0.673992,59478,68409,,,87433,129724,24753,24356,104971,63077,110315,1659520,1380860,278660,400583,253632,146951,445742
648.exchange2_s-1227B.champsimtrace.xzcumulative,IPC:,0.874032,0.872679,127,4,,,34586,39632,23301,23244,16331,11342,16333,80543,80370,173,191,10,181,301299
648.exchange2_s-1699B.champsimtrace.xzcumulative,IPC:,0.920399,0.768099,48,2,,,991784,1291220,631359,615517,659860,376267,666082,3321,3168,153,159,3,156,3575540
600.perlbench_s-1273B.champsimtrace.xzcumulative,IPC:,0.694846,0.763957,495,1637,,,128878,168698,72448,71487,96250,57391,96862,926801,771565,155236,210758,90652,120106,825244
648.exchange2_s-210B.champsimtrace.xzcumulative,IPC:,0.913651,0.336966,0,0,,,11626,34502,6742,2360,27760,9266,27804,2489,1415,1074,1085,2,1083,6706700
641.leela_s-1083B.champsimtrace.xzcumulative,IPC:,0.385686,0.894969,603834,2742374,,,343192,383468,300128,298082,83340,45110,84977,2850820,1809450,1041360,4592750,4442410,150342,1931370
654.roms_s-1613B.champsimtrace.xzcumulative,IPC:,0.620034,0.615001,141571,1376477,,,379918,617752,205807,202609,411945,177309,415008,923450,361853,561597,2007910,1439760,568150,1048350
621.wrf_s-8065B.champsimtrace.xzcumulative,IPC:,0.848522,0.809403,2538839,7134086,,,5820360,7190920,3451490,3418180,3739440,2402180,3866850,12038200,7935340,4102880,18134800,15380900,2753900,11897400
603.bwaves_s-5359B.champsimtrace.xzcumulative,IPC:,0.893202,0.769406,31,90,,,1566100,2035460,332049,332046,1703420,1234050,2092260,65908,31940,33968,64928,221,64707,2033710
657.xz_s-56B.champsimtrace.xzcumulative,IPC:,0.98925,0.765998,51633,604408,,,2918020,3809440,1792530,1776470,2016910,1141550,2068030,225639,84831,140808,1050220,909406,140813,5202190
654.roms_s-842B.champsimtrace.xzcumulative,IPC:,0.638719,0.791762,8619,43595,,,2560620,3234080,830533,819691,2403540,1740930,2604390,55542,23574,31968,84733,39095,45638,10730600
644.nab_s-5853B.champsimtrace.xzcumulative,IPC:,0.634381,0.635567,394189,34961,,,6711910,10560500,3387130,3295750,7173380,3416160,7183150,1782450,1736510,45936,85006,35206,49800,6878760
648.exchange2_s-353B.champsimtrace.xzcumulative,IPC:,0.891083,0.744314,23,7,,,3032660,4074430,1150010,1131520,2924420,1901140,3193110,20475,19336,1139,1146,2,1144,5988610
602.gcc_s-2375B.champsimtrace.xzcumulative,IPC:,0.37111,0.791465,1082232,631540,,,1856150,2345210,1207870,1192890,1137340,663263,1167780,4135110,3551630,583487,1378020,1120510,257512,11185400
627.cam4_s-490B.champsimtrace.xzcumulative,IPC:,0.797702,0.842653,7857270,5237760,,,1421350,1686760,957442,951507,729315,469844,754586,21638400,17615400,4022910,14437100,13850000,587135,12434600
631.deepsjeng_s-928B.champsimtrace.xzcumulative,IPC:,0.546115,0.565591,16937,7981,,,1070830,1893290,779637,706446,1113660,364384,1190990,643236,553714,89522,164343,27693,136650,13930800
641.leela_s-334B.champsimtrace.xzcumulative,IPC:,0.409429,0.727273,100252,115006,,,8452820,11622600,2281150,2191030,9341480,6261790,9535680,849182,799769,49413,189811,136119,53692,21113600
623.xalancbmk_s-700B.champsimtrace.xzcumulative,IPC:,0.388772,0.667082,8094101,4480112,,,2356240,3532150,1112590,1055240,2419560,1301000,2468000,19689200,18936800,752353,5699100,5237400,461702,16309400
603.bwaves_s-1080B.champsimtrace.xzcumulative,IPC:,0.91554,0.583028,479,5090,,,14195200,24347400,8641600,8585360,15705800,5609860,15819100,221801,107964,113837,250381,87107,163274,17114400
641.leela_s-862B.champsimtrace.xzcumulative,IPC:,0.407666,0.63099,385363,68357,,,6236960,9884400,4018070,3960360,5866320,2276600,5872800,820044,815344,4700,72721,37164,35557,10131000
602.gcc_s-2226B.champsimtrace.xzcumulative,IPC:,0.283685,0.532877,5774629,99796318,,,14646900,27486400,8561990,8529350,18924400,6117550,18949100,19786600,5782330,14004300,104286000,89973000,14313200,19498400
654.roms_s-1070B.champsimtrace.xzcumulative,IPC:,0.745775,0.590112,3163628,15859087,,,6299620,10675300,4281840,4231490,6393470,2068140,6413250,9231360,4909040,4322320,19680600,15214100,4466450,7200940
625.x264_s-33B.champsimtrace.xzcumulative,IPC:,1.01458,0.796931,18471,26211,,,2623990,3292620,454787,453948,2837830,2170040,3356860,1935510,1458180,477336,1170520,674578,495944,5359280
619.lbm_s-3766B.champsimtrace.xzcumulative,IPC:,0.469716,0.761922,255701,2446371,,,1880020,2467460,498088,496054,1969380,1383960,2438500,24878800,16718600,8160220,16375600,8302750,8072870,2974490
621.wrf_s-8100B.champsimtrace.xzcumulative,IPC:,0.64332,0.693863,780362,155289,,,551031,794149,191452,145540,602697,405491,604251,3121190,2889570,231622,588692,514585,74107,12452000
623.xalancbmk_s-165B.champsimtrace.xzcumulative,IPC:,0.645879,0.67291,5991714,3699645,,,3763030,5592170,1604790,1536760,3987380,2226270,4028540,17212200,14424500,2787740,6997990,6896610,101383,14001100
638.imagick_s-10316B.champsimtrace.xzcumulative,IPC:,1.69304,0.243685,6232044,626706,,,60085,246568,173895,52984,72673,7101,72729,34445500,34411600,33871,2648860,2615390,33468,18556300
605.mcf_s-1152B.champsimtrace.xzcumulative,IPC:,0.309416,0.761211,695746,6126475,,,3687000,4843600,770109,696721,4073490,2990280,4312240,15579500,4123040,11456400,17479300,12764000,4715330,16217200
641.leela_s-800B.champsimtrace.xzcumulative,IPC:,0.405436,0.607146,571397,238083,,,9648760,15892000,6301540,6233720,9590450,3415040,9705100,1158280,1084170,74109,325097,230448,94649,15716000
603.bwaves_s-2931B.champsimtrace.xzcumulative,IPC:,0.906304,0.638259,2063367,8126383,,,11185800,17525600,6963350,6895890,10562200,4289940,10668500,13677700,7654070,6023650,23439600,17812600,5627020,14096700
648.exchange2_s-1247B.champsimtrace.xzcumulative,IPC:,0.907724,0.712624,0,0,,,9966470,13985600,4964000,4905360,9021590,5061120,9154690,28787,28641,146,154,2,152,19268800
657.xz_s-4994B.champsimtrace.xzcumulative,IPC:,0.808986,0.629878,67335,31942,,,1420010,2254420,427824,329446,1826600,1090560,2293230,1100660,711178,389487,738063,147174,590889,13367600
607.cactuBSSN_s-2421B.champsimtrace.xzcumulative,IPC:,0.800927,0.635876,5528061,5972451,,,11661900,18339900,6071270,5933310,12268600,5728560,12288100,60807900,56938200,3869720,15731800,12690700,3041120,24684100
654.roms_s-1007B.champsimtrace.xzcumulative,IPC:,0.5399,0.684333,445624,3027387,,,12720900,18588700,4549700,4513520,14039000,8207360,14749800,3399880,1449960,1949920,7132610,4941990,2190620,16822800
623.xalancbmk_s-325B.champsimtrace.xzcumulative,IPC:,0.44855,0.683988,7192837,2543406,,,201444,294514,60282,49346,234232,152098,234365,15297600,14926600,370957,3201230,2900260,300970,13525300
607.cactuBSSN_s-3477B.champsimtrace.xzcumulative,IPC:,0.87336,0.507953,288895,187039,,,482341,949578,15776,13885,933802,468456,973981,55114600,52796200,2318350,3097050,1778770,1318270,8232160
644.nab_s-9322B.champsimtrace.xzcumulative,IPC:,0.573412,0.172632,2072667,249609,,,856144,4959360,122770,85385,4836590,770759,4943080,10048100,9673650,374479,1034730,644062,390668,31499700
602.gcc_s-1850B.champsimtrace.xzcumulative,IPC:,0.324756,0.627222,3601019,22285940,,,8249160,13151900,5174780,5144330,7977110,3104830,8103160,8420560,4861280,3559280,23517200,19913400,3603740,14365600
605.mcf_s-472B.champsimtrace.xzcumulative,IPC:,0.403103,0.667623,1740877,20759227,,,6337830,9493120,3401430,3329720,6091680,3008110,7755860,24914600,5042460,19872100,56315800,47903600,8412260,23903400
649.fotonik3d_s-8225B.champsimtrace.xzcumulative,IPC:,0.424149,0.709965,4599202,2601489,,,8561580,12059200,4173530,4077820,7885620,4483760,8032630,13304400,10428100,2876350,8565010,5930240,2634770,19467400
605.mcf_s-1554B.champsimtrace.xzcumulative,IPC:,0.324478,0.708693,5852444,71835082,,,12793700,18052500,9059510,8854980,8993010,3938710,10682100,37599200,6285790,31313500,96006600,94428700,1577880,57380200
654.roms_s-1021B.champsimtrace.xzcumulative,IPC:,0.677526,0.92915,547594,424095,,,9759940,10504200,7750630,7646240,2753540,2113700,2755050,983895,756690,227205,671790,494829,176961,46731400
654.roms_s-523B.champsimtrace.xzcumulative,IPC:,0.604367,0.572059,1996006,14188654,,,13462300,23533100,9030060,8871170,14503000,4591150,14572300,11702100,5133800,6568350,26760200,19929800,6830390,14287900
641.leela_s-602B.champsimtrace.xzcumulative,IPC:,0.401651,0.602782,410930,720557,,,11704600,19417600,6960000,6821910,12457600,4882670,12583400,1505800,1262610,243189,1033310,943812,89495,19145900
623.xalancbmk_s-592B.champsimtrace.xzcumulative,IPC:,0.417458,0.525175,9613790,5219681,,,15793100,30072000,9293610,9084290,20778400,6708770,21006300,34617300,33193100,1424140,10447300,9398940,1048380,37779100
627.cam4_s-573B.champsimtrace.xzcumulative,IPC:,0.6688,0.559375,1042725,158560,,,314757,562694,153815,106709,408879,208048,417002,7943590,5947300,1996290,4046090,2202570,1843520,12238600
603.bwaves_s-1740B.champsimtrace.xzcumulative,IPC:,0.757309,0.696286,1993603,8516727,,,15709300,22561600,5790040,5738480,16771500,9970810,17962500,15947900,5997500,9950420,29821300,19870800,9950520,24599900
641.leela_s-1052B.champsimtrace.xzcumulative,IPC:,0.413426,0.739363,654790,85812,,,8605350,11638900,3097110,3076900,8541750,5528450,8605370,1229310,1225110,4197,89049,54000,35049,13142100
644.nab_s-12521B.champsimtrace.xzcumulative,IPC:,0.7983,0.720285,2605646,569503,,,414265,575140,143550,139935,431590,274330,443511,4575190,4410120,165077,820651,637286,183365,3455740
641.leela_s-149B.champsimtrace.xzcumulative,IPC:,0.408345,0.593775,94697,19661,,,1323380,2228760,781569,771879,1447190,551502,1477350,427367,423722,3645,24421,9430,14991,2615880
648.exchange2_s-387B.champsimtrace.xzcumulative,IPC:,0.7646,0.84339,535,42,,,5844390,6929640,802120,796771,6127520,5047620,6139010,244845,244685,160,215,28,187,7676620
654.roms_s-1390B.champsimtrace.xzcumulative,IPC:,0.35075,0.54618,4675507,15911089,,,30605300,56035200,18714100,18480300,37321000,12125000,38702200,32719900,18926700,13793200,53116400,38689800,14426600,45536900
620.omnetpp_s-141B.champsimtrace.xzcumulative,IPC:,0.229879,0.881668,354646,1421075,,,12268000,13914500,11655300,11435600,2259270,832375,2265930,5993840,3235140,2758700,5470640,2728830,2741820,56957700
638.imagick_s-4128B.champsimtrace.xzcumulative,IPC:,1.35949,0.575861,11541,100983,,,922344,1601680,658862,652573,942815,269771,945337,80003,27933,52070,255412,202764,52648,1003970
648.exchange2_s-1511B.champsimtrace.xzcumulative,IPC:,0.887668,0.758848,9,6,,,3285740,4329910,1524560,1473430,2805350,1812310,2866520,19172,18045,1127,1133,2,1131,13806900
657.xz_s-2302B.champsimtrace.xzcumulative,IPC:,0.365476,0.611131,269463,485402,,,8538750,13972100,4820150,4735240,9151900,3803510,9557510,2590620,2003300,587329,1521400,385436,1135970,13001200
619.lbm_s-2677B.champsimtrace.xzcumulative,IPC:,0.322061,0.778862,483479,4329420,,,16996300,21821900,13209000,12983100,8612920,4013140,9273720,59135900,39731300,19404600,41280500,22204900,19075600,73272300
619.lbm_s-4268B.champsimtrace.xzcumulative,IPC:,0.296619,0.582461,496426,3855763,,,7332370,12588600,4030820,3982240,8557770,3350130,9035320,29749600,20032400,9717130,20130000,10538700,9591280,18419700
654.roms_s-294B.champsimtrace.xzcumulative,IPC:,0.814104,0.697645,1402995,12250797,,,23463500,33632400,9150400,8839710,24482000,14623800,25022100,11587600,4158040,7429520,37855200,31187300,6667890,38619800
649.fotonik3d_s-1B.champsimtrace.xzcumulative,IPC:,0.483374,0.775904,0,0,,,1960920,2527270,420333,419360,2106940,1541560,2707410,26697,13378,13319,21631,4,21627,4932880
649.fotonik3d_s-7084B.champsimtrace.xzcumulative,IPC:,0.970195,0.582584,1682967,11986619,,,15342500,26335200,8212910,7882610,18122300,7459870,18312100,26770400,11947300,14823000,65784000,50245000,15539000,22505200
638.imagick_s-824B.champsimtrace.xzcumulative,IPC:,0.584875,0.659515,557,11026,,,798121,1210160,394347,388543,815817,409578,819135,123333,62554,60779,136412,39229,97183,3244070
625.x264_s-12B.champsimtrace.xzcumulative,IPC:,1.10241,0.527426,42526,72458,,,14613600,27707300,8563960,8522170,19143400,6091400,19202000,3749340,2846670,902667,2932860,2053140,879718,20154000
603.bwaves_s-891B.champsimtrace.xzcumulative,IPC:,0.697511,0.558762,2844504,27824685,,,13544100,24239600,9801230,9754380,14438300,3789760,14519500,12367300,5168150,7199150,48051100,40853400,7197740,14709800
607.cactuBSSN_s-4004B.champsimtrace.xzcumulative,IPC:,0.495204,0.609182,12936,30638,,,13434100,22052700,7414940,7414310,14637800,6019820,15658500,57572100,55004200,2567810,2963590,1293520,1670070,16801000
605.mcf_s-665B.champsimtrace.xzcumulative,IPC:,0.199302,0.624806,1355475,5551300,,,52217000,83573200,18157100,17197600,65416100,35019500,67979300,16646600,8923620,7723000,17205500,9391190,7814310,103912000
619.lbm_s-2676B.champsimtrace.xzcumulative,IPC:,0.623821,0.661687,305851,2281269,,,15727400,23768700,5242280,5181300,18526400,10546100,21614400,92152800,62202400,29950400,62865200,33206600,29658600,35645600
603.bwaves_s-2609B.champsimtrace.xzcumulative,IPC:,0.408698,0.617744,1989021,7829084,,,11825400,19142900,6948890,6919150,12194000,4906270,12334900,6086320,2285740,3800580,10602900,6802190,3800690,15023900
654.roms_s-293B.champsimtrace.xzcumulative,IPC:,0.861594,0.706301,1310357,8325393,,,9416290,13331800,3795600,3624500,9536240,5791790,9699150,10832100,3639720,7192340,31037500,24983900,6053630,21342200
644.nab_s-12459B.champsimtrace.xzcumulative,IPC:,0.55292,0.655519,1052842,184016,,,1191440,1817550,1091680,1061490,725874,129952,729728,5793240,5306340,486899,1046700,915109,131587,19538300
625.x264_s-18B.champsimtrace.xzcumulative,IPC:,1.04836,0.72652,58437,101929,,,9508200,13087300,2222950,2174090,10864400,7334110,14302200,9908350,7436310,2472040,5839580,3242780,2596800,21258600
623.xalancbmk_s-10B.champsimtrace.xzcumulative,IPC:,0.293073,0.494828,670748,4498480,,,7699260,15559500,4497560,4383650,11061900,3315610,11316800,6827050,1907700,4919340,9268840,3634260,5634580,17955000
649.fotonik3d_s-1176B.champsimtrace.xzcumulative,IPC:,0.484555,0.662447,3794236,3835194,,,28608700,43186400,11803100,11225700,31383300,17383000,32173000,25543000,19680100,5862910,21675500,16103700,5571800,59475200
621.wrf_s-6673B.champsimtrace.xzcumulative,IPC:,0.757877,0.640661,2019739,5151192,,,19116900,29839300,6649060,6108070,23190300,13008800,24227800,30261600,18478500,11783100,39453300,29441400,10011900,86371300
605.mcf_s-484B.champsimtrace.xzcumulative,IPC:,0.363144,0.716553,1105273,9197956,,,11313800,15789200,3373880,3349480,12415300,7964300,13113500,7761440,2415460,5345980,14841100,8905410,5935670,15433100
649.fotonik3d_s-10881B.champsimtrace.xzcumulative,IPC:,0.20454,0.600195,847187,7825979,,,19718200,32853100,6197880,5929110,26655200,13789100,29103200,24844500,11729500,13115000,44716000,28998800,15717200,42677200
628.pop2_s-17B.champsimtrace.xzcumulative,IPC:,0.682349,0.643436,2384666,1965316,,,8448340,13130000,2767540,2709520,10362500,5738810,11405800,25747700,20719900,5027870,13997000,10697200,3299790,23182600
603.bwaves_s-3699B.champsimtrace.xzcumulative,IPC:,0.869658,0.631909,59,102,,,6293870,9960100,1148790,1096060,8811310,5197810,10473600,432371,198879,233492,430995,76722,354273,14114000
607.cactuBSSN_s-4248B.champsimtrace.xzcumulative,IPC:,0.945025,0.483768,127052,1135260,,,3828430,7913760,2367920,2238280,5545850,1590160,5692340,1176560,461230,715330,4501200,3785800,715399,14530500
648.exchange2_s-72B.champsimtrace.xzcumulative,IPC:,0.901934,0.304185,0,0,,,54248,178339,20276,19505,158063,34743,159148,16745,16579,166,167,0,167,2085890
605.mcf_s-782B.champsimtrace.xzcumulative,IPC:,0.129141,0.718412,1604444,14180405,,,16322900,22720800,4076660,3736510,18644100,12586400,20477600,33262200,5525860,27736300,40413800,25922300,14491500,57653900
657.xz_s-3167B.champsimtrace.xzcumulative,IPC:,0.82009,0.393806,140163,198297,,,595618,1512470,102701,94857,1409770,500761,1447840,10000300,8062540,1937800,4383540,2671540,1712000,20851300
625.x264_s-39B.champsimtrace.xzcumulative,IPC:,1.20751,0.620027,117767,389004,,,1243910,2006220,235090,217734,1771140,1026180,1876670,8742900,6933450,1809460,4286220,2937150,1349060,18395400
605.mcf_s-1644B.champsimtrace.xzcumulative,IPC:,0.130729,0.595765,2011356,15069628,,,21134100,35473900,11450700,11249000,24023100,9885140,24539100,37897100,21235700,16661400,46347200,31941700,14405500,33575400
620.omnetpp_s-874B.champsimtrace.xzcumulative,IPC:,0.143204,0.649155,376354,1870220,,,22166300,34146400,10385800,10287000,23760600,11879300,23970000,5900640,3446400,2454250,5494030,1608990,3885050,29915600
605.mcf_s-1536B.champsimtrace.xzcumulative,IPC:,0.153865,0.735421,3170708,5388378,,,6966780,9473190,3574580,3493560,5898610,3473220,6023830,18693300,12885000,5808310,15518200,10284600,5233600,24414400
602.gcc_s-734B.champsimtrace.xzcumulative,IPC:,0.347602,0.71411,6941766,7878707,,,19199800,26886300,8413380,8316710,18472900,10883100,19522500,24714100,20581000,4133110,20648500,16350500,4298000,41573100
605.mcf_s-994B.champsimtrace.xzcumulative,IPC:,0.128803,0.60449,1372269,2932799,,,6047590,10004500,1306300,1218910,8698150,4828680,10108800,8824780,4476670,4348110,7457980,2197670,5260310,16653700
,,59.78774,62.43748,151053842,520393479,0,0,749414697,1169719834,368186705,359839752,801532738,389574984,839805654,1190169222,794945733,395223264,1253584642,938151409,315433596,1825708231
